id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
418,,,10.1071/wf16013,"Identifying key climate and environmental factors affecting rates of post-fire big sagebrush (Artemisia tridentata) recovery in the northern Columbia Basin, USA","Shinneman, Douglas J.; McIlroy, Susan K.",2016,,0
419,,,10.1093/biomet/79.4.747,LEAST-ABSOLUTE-DEVIATIONS FITS FOR GENERALIZED LINEAR-MODELS,"MORGENTHALER, S",1992,,37
420,,,10.1016/j.jeconom.2005.03.004,Estimation of copula-based semiparametric time series models,"Chen, XH; Fan, YQ",2006,,107
421,,,10.1097/ccm.0000000000000743,Use of High-Flow Nasal Cannula Oxygen Therapy to Prevent Desaturation During Tracheal Intubation of Intensive Care Patients With Mild-to-Moderate Hypoxemia,"Miguel-Montanes, Roman; Hajage, David; Messika, Jonathan; Bertrand, Fabrice; Gaudry, Stephane; Rafat, Cedric; Labbe, Vincent; Dufour, Nicolas; Jean-Baptiste, Sylyain; Bedet, Alexandre; Dreyfuss, Didier; Ricard, Jean-Damien",2015,,36
422,,,10.2307/3868138,A gentle introduction to quantile regression for ecologists,"Cade, BS; Noon, BR",2003,,655
423,,,10.1016/j.insmatheco.2009.11.008,Constrained smoothing B-splines for the term structure of interest rates,"Laurini, Marcio Poletti; Moura, Marcelo",2010,,7
424,,,10.1164/rccm.20410-1335oc,Disease-specific reference equations for lung function in patients with cystic fibrosis,"Kulich, M; Rosenfeld, M; Campbell, J; Kronmal, R; Gibson, RL; Goss, CH; Ramsey, B",2005,,39
425,,,10.1016/j.jspi.2013.03.008,Local quantile regression,"Spokoiny, Vladimir; Wang, Weining; Haerdle, Wolfgang Karl",2013,,7
426,,,10.1111/oik.02781,Colony size and foraging range in seabirds,"Jovani, Roger; Lascelles, Ben; Garamszegi, Laszlo Zsolt; Mavor, Roddy; Thaxter, Chris B.; Oro, Daniel",2016,,1
427,,,10.1080/03610918.2011.581779,On the Iteratively Reweighted Rank Regression Estimator,"Gong, Yankun; Abebe, Asheber",2012,,0
